key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10022|라이온|소개글이 없습니다.|282|14|3|Solid Ground (Stop The World)|Dami Im|Heart Beats (Deluxe Edit.)
10022|라이온|소개글이 없습니다.|282|14|3|Prologue|Alan Menken|미녀와 야수 (Beauty And The Beast) OST
10022|라이온|소개글이 없습니다.|282|14|3|Almost There|Anika Noni Rose|공주와 개구리 OST
10022|라이온|소개글이 없습니다.|282|14|3|Down In New Orleans (Prologue)|Anika Noni Rose|공주와 개구리 OST
10022|라이온|소개글이 없습니다.|282|14|3|Tchaikovsky : The Nutcracker Suite Op.71a - VIII. Waltz Of The Flowers (차이콥스키 : 호두까기 인형 모음곡 작품번호 71a - 7번. 꽃의 왈츠)|Manhattan Jazz Orchestra|Bolero (Part.3)
10022|라이온|소개글이 없습니다.|282|14|3|Hanky Panky (Remastered 2015)|Dexter Gordon|Clubhouse (Remastered 2015)
10022|라이온|소개글이 없습니다.|282|14|3|Gershwin : Rhapsody In Blue For 4 Hands Piano (거슈인 : 두대의 피아노를 위한 랩소디 인 블루) (`노다메 레코딩` 다큐먼트 버전)|Lang Lang|노다메 데뷔
10022|라이온|소개글이 없습니다.|282|14|3|Gershwin : Rhapsody In Blue (거슈인 : 랩소디 인 블루) (`최종악장 후편` 엔딩)|Lang Lang|노다메 데뷔
10022|라이온|소개글이 없습니다.|282|14|3|Send In The Clowns|Rose Jang|Broadway Comes To Seoul Arts Center
10022|라이온|소개글이 없습니다.|282|14|3|Send In The Clowns (어 리틀 나이트 뮤직 OST)|Helen Hobson|100 Greatest Musicals (가장 위대한 뮤지컬 음악 100선)
10022|라이온|소개글이 없습니다.|282|14|3|Send In The Clowns|조수미|Lim Hyung Joo Selects: 임형주가 선사하는 아름다운 음악
10022|라이온|소개글이 없습니다.|282|14|3|사랑이야|스윗소로우|나는 가수다 시즌3 7회 `네티즌 추천곡`
10022|라이온|소개글이 없습니다.|282|14|3|바람이 분다|스윗소로우|나는 가수다 시즌3 3회 `내가 부르고 싶은 노래`
10022|라이온|소개글이 없습니다.|282|14|3|I Dream|15& (박지민, 백예린)|I Dream
10022|라이온|소개글이 없습니다.|282|14|3|Dream (With 전주영)|이루마|강아지 똥 OST
10022|라이온|소개글이 없습니다.|282|14|3|All Myself To You|이루마|강아지 똥 OST
10022|라이온|소개글이 없습니다.|282|14|3|Scarborough Fair (Simon & Garfunkel)|Kokia|Musique A La Carte
10022|라이온|소개글이 없습니다.|282|14|3|1994년 어느 늦은 밤|럼블피쉬|One Sweet Day
10022|라이온|소개글이 없습니다.|282|14|3|1994년 어느 늦은 밤|장혜진|It`s My Life: 6집 & Best
10022|라이온|소개글이 없습니다.|282|14|3|Someday (피쳐링. 윤도현 Of YB)|리쌍|Unplugged
10022|라이온|소개글이 없습니다.|282|14|3|마음대로|이진아|K팝 스타 시즌4 `마음대로`
10022|라이온|소개글이 없습니다.|282|14|3|베토벤 교향곡 9번 합창 - V. 환희의 송가 - Allegro Assai Vivace, Alla Marcia|Konstantin Scherbakov|LISZT : 베토벤 교향곡 9번 합창 (피아노편곡)
10022|라이온|소개글이 없습니다.|282|14|3|Paradise|디아|Paradise
10022|라이온|소개글이 없습니다.|282|14|3|My Eden|이사벨 (Yisabel)|구가의 서 OST
10022|라이온|소개글이 없습니다.|282|14|3|Counting Stars|OneRepublic|Native (Deluxe Edition)
10022|라이온|소개글이 없습니다.|282|14|3|On My Own|Samantha Barks|레미제라블 OST
10022|라이온|소개글이 없습니다.|282|14|3|Suddenly|Hugh Jackman|레미제라블 OST
10022|라이온|소개글이 없습니다.|282|14|3|Chopin : Ballade No.4 In F Minor Op.52 (쇼팽 : 발라드 4번 바단조 작품번호 52)|Ingolf Wunder|내일도 칸타빌레 클래식 앨범 Part.1
